RBD;NOM_RBD;PACE;COD_COM_RBD
464;ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ;0;3301
466;ESCUELA BASICA JAVIERA CARRERA;0;3301
467;ESCUELA HERNÁN ARAVENA CONTRERAS;0;3301
468;ESCUELA BÁSICA IGNACIO FRANCO GALLO;0;3301
469;ESCUELA BÁSICA JUSTINO LEIVA AMOR;0;3301
471;ESCUELA BÁSICA SARA BEMBOW VILLEGAS;0;3301
472;ESCUELA DE HACIENDA LAS VENTANAS;0;3301
475;ESCUELA BASICA CAMARONES;0;3301
476;ESCUELA BÁSICA SOR TERESA DE LOS ANDES;0;3301
477;ESCUELA HIPOLITO CORTES GARROTE;0;3302
478;LICEO SANTA MARTA;0;3301
479;LICEO SAN FRANCISCO;0;3301
480;COLEGIO INGLES LAICO;0;3301
481;ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA;0;3303
482;ESCUELA FORTUNATO SOZA RODRÍGUEZ;0;3303
483;ESCUELA SAMUEL E. CASTILLO LOPEZ;0;3303
484;ESCUELA DE MAITENCILLO;0;3303
485;ESCUELA BÁSICA YERBAS BUENAS;0;3301
486;LICEO JAPÓN;1;3304
487;ESCUELA BÁSICA JOSÉ MIGUEL CARRERA;0;3304
489;ESCUELA EL OLIVAR;0;3304
490;ESCUELA PABLO NERUDA;0;3304
492;COLEGIO PARTICULAR ENGLISH COLLEGE;0;3304
493;ESCUELA EDUCADOR ARTURO ALVEAR RAMOS;0;3302
495;ESCUELA AGLADE MARÍN VARGAS;0;3302
496;ESCUELA DE CHOLLAY;0;3302
497;ESCUELA DE LA PAMPA;0;3302
498;ESCUELA ALGARROBILLA;0;3302
499;ESCUELA RICARDO CAMPILLAY CONTRERAS;0;3302
500;ESCUELA BÁSICA RURAL EL TAMBO;0;3302
501;ESCUELA DE RETAMO;0;3302
502;ESCUELA DE LAS MARQUESAS;0;3302
503;ESCUELA DE LAS BREAS;0;3302
504;ESCUELA GABRIELA MISTRAL;0;3302
505;ESCUELA;0;3302
506;ESCUELA DE LOS PERALES;0;3302
508;ESCUELA DE CHIGUINTO;0;3302
509;ESCUELA BÁSICA ALDECIRA ALVAREZ A.;0;3302
511;ESCUELA ALICIA FREDES;0;3302
512;ESCUELA DE LA VEGA;0;3302
513;ESCUELA DE LA HIGUERITA;0;3302
514;ESCUELA DE EL CORRAL;0;3302
515;CENTRO DE DIAGNOSTICO;0;4101
516;LICEO GABRIELA MISTRAL DE LA SERENA;1;4101
517;LICEO GREGORIO CORDOVEZ;1;4101
518;LICEO TECNICO MARTA BRUNET;1;4101
519;COLEGIO ARTURO PRAT CHACON;0;4101
520;COLEGIO JOSE GASPAR MARIN ESQUIVEL;0;4101
521;COLEGIO VICTOR DOMINGO SILVA;0;4101
522;COLEGIO JAVIERA CARRERA;0;4101
523;ESCUELA ALONSO DE ERCILLA;0;4101
525;COLEGIO JAPON;0;4101
526;COLEGIO JOSE MANUEL BALMACEDA;1;4101
527;COLEGIO HEROES DE LA CONCEPCION;0;4101
528;ESCUELA GERMAN RIESCO;0;4101
529;COLEGIO MANUEL RODRIGUEZ;0;4101
530;COLEGIO GABRIEL GONZALEZ VIDELA;1;4101
